"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"475",14,"David Bell",CLE,"WR163","10","3 out of 5 stars","-"
"476",14,"Isaiah Hodgins",NYG,"WR164","11","3 out of 5 stars","-"
"477",14,"Jalen Guyton",LV,"WR165","10","3 out of 5 stars","-"
"478",14,"Boston Scott",LAR,"RB131","6","3 out of 5 stars","-"
"479",14,"Derius Davis",LAC,"WR166","5","3 out of 5 stars","-"
"480",14,"AJ Barner",SEA,"TE70","10","3 out of 5 stars","-"
"481",14,"Allen Robinson II",NYG,"WR167","11","3 out of 5 stars","-"
"482",14,"Irv Smith Jr.",KC,"TE71","6","3 out of 5 stars","-"
"483",14,"DeeJay Dallas",ARI,"RB132","11","2 out of 5 stars","-"
"484",14,"Cornelius Johnson",LAC,"WR168","5","3 out of 5 stars","-"
"485",14,"Tennessee Titans",TEN,"DST31","5","3 out of 5 stars","-191"
"486",14,"Carson Wentz",KC,"QB50","6","3 out of 5 stars","-"
"487",14,"Zach Wilson",DEN,"QB51","14","2 out of 5 stars","-"
"488",14,"Bub Means",NO,"WR169","12","3 out of 5 stars","-"
"489",14,"Desmond Ridder",ARI,"QB52","11","2 out of 5 stars","-"
"490",14,"Devin Duvernay",JAC,"WR170","12","4 out of 5 stars","-"
"491",14,"Scotty Miller",PIT,"WR171","9","1 out of 5 stars","-"
"492",14,"Jimmy Garoppolo",LAR,"QB53","6","4 out of 5 stars","-"
"493",14,"Jordan Akins",CLE,"TE72","10","3 out of 5 stars","-"
"494",14,"Patrick Ricard",BAL,"RB133","14","3 out of 5 stars","-"
"495",14,"Hassan Haskins",TEN,"RB134","5","3 out of 5 stars","-"
"496",14,"Keilan Robinson",JAC,"RB135","12","2 out of 5 stars","-"
"497",14,"Trent Sherfield Sr.",MIN,"WR172","6","3 out of 5 stars","-"
"498",14,"Brock Wright",DET,"TE73","5","3 out of 5 stars","-"
"499",14,"Anthony Gould",IND,"WR173","14","4 out of 5 stars","-"
"500",14,"Jha'Quan Jackson",TEN,"WR174","5","4 out of 5 stars","-"
"501",14,"Emeka Egbuka",FA,"WR175","-","-","-"
"502",14,"Daurice Fountain",DET,"WR176","5","4 out of 5 stars","-"
"503",14,"Denzel Mims",JAC,"WR177","12","4 out of 5 stars","-"
"504",14,"Jeremy McNichols",WAS,"RB136","14","3 out of 5 stars","-"
"505",14,"Raheem Blackshear",CAR,"RB137","11","4 out of 5 stars","-"
"506",14,"Devaughn Vele",DEN,"WR178","14","2 out of 5 stars","-"
"507",14,"James Robinson",NO,"RB138","12","5 out of 5 stars","-"
"508",14,"MyCole Pruitt",PIT,"TE74","9","3 out of 5 stars","-"
"509",14,"Pharaoh Brown",SEA,"TE75","10","3 out of 5 stars","-"
"510",14,"Deonte Harty",BAL,"WR179","14","3 out of 5 stars","-"
"511",14,"Julius Chestnut",TEN,"RB139","5","3 out of 5 stars","-"
"512",14,"Zach Evans",LAR,"RB140","6","3 out of 5 stars","-"
"513",14,"Avery Williams",ATL,"RB141","12","4 out of 5 stars","-"
"514",14,"Justyn Ross",KC,"WR180","6","3 out of 5 stars","-"
"515",14,"Mike White",MIA,"QB54","6","2 out of 5 stars","-"
"516",14,"Josh Johnson",BAL,"QB55","14","4 out of 5 stars","-"
"517",14,"Arizona Cardinals",ARI,"DST32","11","3 out of 5 stars","-"
"518",14,"Mo Alie-Cox",IND,"TE76","14","3 out of 5 stars","-"
"519",14,"Hunter Luepke",DAL,"RB142","7","3 out of 5 stars","-"
"520",14,"Connor Heyward",PIT,"TE77","9","3 out of 5 stars","-"
"521",14,"Tip Reiman",ARI,"TE78","11","5 out of 5 stars","-"
"522",14,"Josh Crockett",FA,"WR181","-","-","-"
"523",14,"George Holani",SEA,"RB143","10","4 out of 5 stars","-"
"524",14,"Leonard Fournette",FA,"RB144","-","-","-"
"525",14,"Drew Sample",CIN,"TE79","12","3 out of 5 stars","-"
"526",14,"Dylan Parham",FA,"TE80","-","-","-"
"527",14,"Harrison Bryant",LV,"TE81","10","4 out of 5 stars","-"
"528",14,"Jalen Coker",CAR,"WR182","11","5 out of 5 stars","-"
"529",15,"Myles Gaskin",MIN,"RB145","6","3 out of 5 stars","-"
"530",15,"C.J. Ham",MIN,"RB146","6","3 out of 5 stars","-"
"531",15,"Equanimeous St. Brown",NO,"WR183","12","3 out of 5 stars","-"
"532",15,"Michael Burton",DEN,"RB147","14","4 out of 5 stars","-"
"533",15,"Zach Pascal",ARI,"WR184","11","3 out of 5 stars","-"
"534",15,"Lawrence Cager",NYG,"WR185","11","3 out of 5 stars","-"
"535",15,"Mason Rudolph",TEN,"QB56","5","5 out of 5 stars","-"
"536",15,"Daijun Edwards",PIT,"RB148","9","4 out of 5 stars","-"
"537",15,"Khari Blasingame",CHI,"RB149","7","2 out of 5 stars","-203"
"538",15,"Joe Parker",FA,"WR186","-","-","-"
"539",15,"Dante Pettis",CHI,"WR187","7","4 out of 5 stars","-"
"540",15,"Tommy DeVito",NYG,"QB57","11","2 out of 5 stars","-204"
"541",15,"Dallin Holker",NO,"TE82","12","4 out of 5 stars","-"
"542",15,"Chris Conley",SF,"WR188","9","2 out of 5 stars","-"
"543",15,"Dante Miller",NYG,"RB150","11","3 out of 5 stars","-"
"544",15,"Chris Brooks",MIA,"RB151","6","3 out of 5 stars","-"
"545",15,"Charlie Woerner",ATL,"TE83","12","3 out of 5 stars","-"
"546",15,"Darrynton Evans",BUF,"RB152","12","2 out of 5 stars","-"
"547",15,"Stephen Sullivan",FA,"TE84","-","-","-"
"548",15,"Carlos Washington Jr.",ATL,"RB153","12","4 out of 5 stars","-"
"549",15,"JaMycal Hasty",NE,"RB154","14","2 out of 5 stars","-"
"550",15,"Luke Farrell",JAC,"TE85","12","3 out of 5 stars","-"
"551",15,"Zonovan Knight",DET,"RB155","5","3 out of 5 stars","-"
"552",15,"Adam Prentice",NO,"RB156","12","5 out of 5 stars","-"
"553",15,"Jack Stoll",NYG,"TE86","11","4 out of 5 stars","-"
"554",15,"Donovan Edwards",FA,"RB157","-","-","-"
"555",15,"Xavier Weaver",ARI,"WR189","11","3 out of 5 stars","-"
"556",15,"Lil'Jordan Humphrey",DEN,"WR190","14","2 out of 5 stars","-"
"557",15,"TreVeyon Henderson",FA,"RB158","-","-","-"
"558",15,"Ihmir Smith-Marsette",CAR,"WR191","11","5 out of 5 stars","-"
"559",15,"Louis Rees-Zammit",KC,"RB159","6","3 out of 5 stars","-250"
"560",15,"Stone Smartt",LAC,"TE87","5","3 out of 5 stars","-"
"561",15,"Reggie Gilliam",BUF,"RB160","12","2 out of 5 stars","-"
"562",15,"Marcus Rosemy-Jacksaint",WAS,"WR192","14","3 out of 5 stars","-"
"563",15,"Grant DuBose",GB,"WR193","10","4 out of 5 stars","-"
"564",15,"Ian Thomas",CAR,"TE88","11","3 out of 5 stars","-"
"565",15,"Chris Blair",ATL,"WR194","12","4 out of 5 stars","-"
"566",15,"La'Mical Perine",PIT,"RB161","9","4 out of 5 stars","-"
"567",15,"Nick Vannett",TEN,"TE89","5","4 out of 5 stars","-"
"568",15,"Payne Durham",TB,"TE90","11","3 out of 5 stars","-"
"569",15,"Sterling Shepard",TB,"WR195","11","3 out of 5 stars","-"
"570",15,"Simi Fehoko",LAC,"WR196","5","3 out of 5 stars","-"
"571",15,"Demetric Felton Jr.",IND,"RB162","14","2 out of 5 stars","-"
"572",15,"Isaiah Williams",DET,"WR197","5","4 out of 5 stars","-"
"573",15,"Velus Jones Jr.",CHI,"WR198","7","4 out of 5 stars","-"
"574",15,"Bryson Nesbit",FA,"TE91","-","-","-"
"575",15,"Emani Bailey",KC,"RB163","6","3 out of 5 stars","-"
"576",15,"Jaxon Janke",FA,"WR199","-","-","-"
